                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5099,                 1.5515,                 1.0713,                 0.5717,                0.25285,                0.24975,                 0.1379,                 1.4203,                 1.0604,                 1.0298,               0.070055,              0.0033272,              0.0033272
                      1,                 1.4369,                 1.0783,                 1.0332,                 0.5443,                0.29507,                0.29409,                0.15806,                 1.3976,                 1.0006,                 1.0037,               0.039984,              0.0065898,              0.0065898
                      2,                 1.4337,                 1.0256,                 1.0262,                0.38749,                0.27088,                0.25859,                0.13216,                   1.44,                 1.0506,                 1.0174,              0.0098425,              0.0097815,              0.0097815
                      3,                 1.4161,                0.98316,                 1.0232,                0.41745,                0.29747,                0.29594,                0.15935,                 1.3643,                 0.9743,                 1.0057,              0.0096813,              0.0096813,              0.0096813
                      4,                 1.3828,                0.93436,                 1.0118,                0.44647,                0.32743,                0.32692,                0.17465,                 1.3621,                0.89607,                0.99465,              0.0096813,              0.0096813,              0.0096813
                      5,                 1.3622,                0.90672,                 1.0048,                0.49787,                0.33075,                0.35147,                0.19057,                 1.3206,                0.86287,                0.97955,               0.009575,               0.009575,               0.009575
                      6,                 1.3481,                0.88852,                0.99912,                0.46835,                0.34815,                0.36043,                0.19637,                   1.31,                0.84466,                0.97367,              0.0094687,              0.0094687,              0.0094687
                      7,                 1.3366,                0.87369,                0.99499,                0.49214,                0.35944,                 0.3763,                0.20582,                 1.2939,                0.81704,                0.96985,              0.0093625,              0.0093625,              0.0093625
                      8,                  1.329,                0.86479,                0.99297,                0.51223,                0.35255,                0.38114,                 0.2086,                 1.2931,                0.80826,                0.97045,              0.0092563,              0.0092563,              0.0092563
                      9,                 1.3216,                0.85611,                0.98932,                0.50833,                0.36367,                0.38627,                0.21134,                 1.2821,                0.79548,                 0.9641,                0.00915,                0.00915,                0.00915
                     10,                 1.3174,                0.84946,                0.98799,                0.52283,                0.37038,                0.40108,                0.21997,                 1.2645,                0.77912,                0.95756,              0.0090437,              0.0090437,              0.0090437
                     11,                 1.3128,                0.84399,                0.98626,                0.52624,                0.38018,                0.40648,                 0.2253,                   1.26,                0.77274,                0.95784,              0.0089375,              0.0089375,              0.0089375
                     12,                 1.3082,                0.83897,                 0.9848,                0.61759,                0.38271,                0.40989,                0.22752,                 1.2532,                0.76011,                0.95309,              0.0088313,              0.0088313,              0.0088313
                     13,                 1.3068,                0.83473,                0.98334,                 0.5373,                0.38384,                0.41919,                0.23215,                 1.2489,                0.75363,                0.95195,               0.008725,               0.008725,               0.008725
                     14,                 1.3005,                0.83023,                0.98174,                0.53885,                0.38368,                0.41737,                0.23022,                 1.2467,                0.74986,                0.95097,              0.0086188,              0.0086188,              0.0086188
                     15,                 1.2978,                0.82669,                0.98005,                0.64748,                 0.3887,                0.42519,                0.23774,                 1.2368,                0.74344,                 0.9494,              0.0085125,              0.0085125,              0.0085125
                     16,                 1.2946,                0.82219,                0.97845,                0.54704,                0.39174,                0.42855,                0.23952,                 1.2336,                0.73682,                0.94793,              0.0084063,              0.0084063,              0.0084063
                     17,                 1.2936,                 0.8208,                0.97808,                0.64867,                0.39656,                0.43203,                0.24168,                 1.2304,                0.73207,                0.94644,                 0.0083,                 0.0083,                 0.0083
                     18,                 1.2895,                0.81762,                0.97746,                0.64121,                0.40052,                0.43469,                0.24351,                 1.2282,                0.72843,                0.94531,              0.0081937,              0.0081937,              0.0081937
                     19,                 1.2893,                0.81663,                0.97712,                0.65226,                0.39713,                0.43435,                0.24369,                 1.2262,                0.72665,                0.94452,              0.0080875,              0.0080875,              0.0080875
                     20,                 1.2872,                0.81447,                0.97585,                0.65854,                0.39994,                0.43788,                0.24527,                 1.2253,                0.72406,                0.94393,              0.0079813,              0.0079813,              0.0079813
                     21,                 1.2842,                0.81047,                0.97468,                0.66129,                0.40096,                0.43908,                0.24627,                 1.2224,                0.72144,                0.94273,               0.007875,               0.007875,               0.007875
                     22,                 1.2837,                0.81147,                 0.9751,                0.56372,                0.40245,                 0.4425,                0.24796,                 1.2214,                0.72055,                0.94238,              0.0077688,              0.0077688,              0.0077688
                     23,                 1.2819,                 0.8095,                0.97442,                0.65706,                0.40324,                0.44368,                0.24896,                 1.2196,                0.71751,                0.94179,              0.0076625,              0.0076625,              0.0076625
                     24,                 1.2804,                0.80703,                0.97323,                0.65462,                0.40768,                0.44486,                0.24946,                 1.2182,                0.71567,                0.94094,              0.0075563,              0.0075563,              0.0075563
                     25,                 1.2786,                0.80463,                0.97233,                0.66701,                0.40288,                0.44525,                0.25007,                 1.2171,                 0.7146,                0.94032,                0.00745,                0.00745,                0.00745
                     26,                  1.276,                0.80316,                  0.972,                0.66812,                0.40222,                0.44675,                0.25068,                 1.2165,                 0.7139,                0.93985,              0.0073438,              0.0073438,              0.0073438
                     27,                 1.2768,                 0.8021,                 0.9716,                0.67552,                0.40354,                0.44893,                0.25229,                 1.2155,                0.71247,                0.93942,              0.0072375,              0.0072375,              0.0072375
                     28,                 1.2751,                0.80059,                0.97073,                0.67514,                0.40439,                0.44984,                0.25313,                  1.215,                0.71131,                0.93915,              0.0071313,              0.0071313,              0.0071313
                     29,                  1.275,                 0.8004,                0.97112,                0.67363,                0.40717,                0.45054,                0.25374,                 1.2142,                0.71037,                  0.939,               0.007025,               0.007025,               0.007025
                     30,                 1.2731,                0.79866,                 0.9705,                0.67111,                 0.4065,                0.45107,                0.25394,                 1.2137,                0.70968,                0.93876,              0.0069188,              0.0069188,              0.0069188
                     31,                 1.2703,                 0.7963,                0.96983,                0.67236,                0.40694,                0.45089,                0.25435,                 1.2131,                0.70902,                0.93857,              0.0068125,              0.0068125,              0.0068125
                     32,                 1.2694,                0.79529,                0.96913,                0.67565,                0.40749,                0.45173,                 0.2548,                 1.2126,                0.70841,                0.93846,              0.0067063,              0.0067063,              0.0067063
                     33,                 1.2657,                0.79269,                0.96849,                 0.6707,                 0.4098,                0.45274,                0.25525,                 1.2121,                0.70768,                0.93826,                 0.0066,                 0.0066,                 0.0066
                     34,                 1.2689,                0.79414,                 0.9683,                0.66897,                 0.4112,                0.45329,                0.25564,                 1.2117,                0.70723,                0.93808,              0.0064938,              0.0064938,              0.0064938
                     35,                 1.2672,                0.79135,                0.96697,                0.66375,                0.41369,                0.45342,                0.25565,                 1.2114,                0.70661,                0.93791,              0.0063875,              0.0063875,              0.0063875
                     36,                 1.2669,                0.79069,                0.96824,                0.66776,                0.41332,                0.45385,                0.25586,                  1.211,                0.70623,                0.93784,              0.0062812,              0.0062812,              0.0062812
                     37,                 1.2618,                0.78748,                0.96615,                0.66416,                0.41434,                 0.4539,                0.25602,                 1.2105,                0.70582,                0.93762,               0.006175,               0.006175,               0.006175
                     38,                 1.2612,                0.78651,                0.96651,                0.66316,                0.41474,                0.45431,                 0.2562,                 1.2102,                0.70539,                0.93742,              0.0060687,              0.0060687,              0.0060687
                     39,                 1.2617,                0.78583,                0.96584,                0.66374,                0.41551,                0.45505,                0.25661,                 1.2097,                0.70507,                0.93722,              0.0059625,              0.0059625,              0.0059625
                     40,                 1.2607,                0.78623,                0.96545,                0.66634,                0.41485,                0.45548,                 0.2568,                 1.2092,                0.70456,                0.93699,              0.0058562,              0.0058562,              0.0058562
                     41,                 1.2592,                0.78248,                0.96466,                 0.6673,                0.41281,                0.45485,                0.25682,                 1.2088,                0.70417,                0.93678,                0.00575,                0.00575,                0.00575
                     42,                 1.2581,                0.78264,                0.96433,                0.66884,                0.41395,                0.45538,                 0.2572,                 1.2084,                 0.7038,                0.93661,              0.0056438,              0.0056438,              0.0056438
                     43,                 1.2566,                0.78067,                0.96448,                0.67005,                0.41465,                0.45605,                0.25766,                  1.208,                0.70353,                0.93645,              0.0055375,              0.0055375,              0.0055375
                     44,                 1.2545,                 0.7793,                0.96388,                 0.6715,                0.41538,                0.45663,                0.25798,                 1.2077,                 0.7031,                0.93632,              0.0054312,              0.0054312,              0.0054312
                     45,                 1.2542,                 0.7772,                0.96278,                0.67245,                  0.415,                0.45726,                0.25847,                 1.2073,                 0.7028,                0.93611,               0.005325,               0.005325,               0.005325
                     46,                 1.2533,                0.77724,                0.96306,                0.67108,                0.41583,                0.45754,                0.25861,                 1.2069,                 0.7024,                0.93596,              0.0052188,              0.0052188,              0.0052188
                     47,                 1.2509,                0.77555,                0.96217,                0.67373,                0.41362,                 0.4575,                0.25888,                 1.2064,                0.70199,                0.93575,              0.0051125,              0.0051125,              0.0051125
                     48,                 1.2511,                 0.7757,                0.96249,                0.66993,                0.41524,                0.45768,                0.25906,                 1.2059,                0.70159,                 0.9356,              0.0050063,              0.0050063,              0.0050063
                     49,                 1.2507,                0.77435,                0.96202,                0.66895,                0.41531,                0.45772,                0.25931,                 1.2055,                0.70133,                0.93546,                 0.0049,                 0.0049,                 0.0049
                     50,                 1.2507,                0.77401,                 0.9613,                0.66898,                0.41645,                0.45812,                0.25949,                  1.205,                0.70098,                0.93524,              0.0047938,              0.0047938,              0.0047938
                     51,                  1.247,                0.77069,                0.96029,                0.67089,                0.41663,                0.45862,                0.25966,                 1.2046,                0.70082,                 0.9351,              0.0046875,              0.0046875,              0.0046875
                     52,                 1.2474,                0.77016,                0.96063,                0.66978,                0.41638,                0.45863,                0.25995,                 1.2041,                0.70048,                 0.9349,              0.0045813,              0.0045813,              0.0045813
                     53,                 1.2453,                0.76954,                0.96031,                0.66935,                0.41611,                0.45874,                0.26014,                 1.2037,                0.70021,                 0.9347,               0.004475,               0.004475,               0.004475
                     54,                 1.2451,                0.76858,                0.95987,                0.66908,                0.41708,                0.45911,                0.26031,                 1.2033,                0.69995,                0.93453,              0.0043688,              0.0043688,              0.0043688
                     55,                 1.2431,                0.76646,                0.95876,                0.67145,                0.41586,                0.45944,                0.26062,                  1.203,                0.69973,                0.93435,              0.0042625,              0.0042625,              0.0042625
                     56,                  1.243,                0.76692,                0.95895,                0.66949,                0.41555,                0.45916,                0.26093,                 1.2026,                0.69978,                0.93414,              0.0041563,              0.0041563,              0.0041563
                     57,                 1.2418,                0.76428,                0.95873,                0.67049,                0.41547,                0.45969,                0.26112,                 1.2023,                0.69984,                  0.934,                0.00405,                0.00405,                0.00405
                     58,                 1.2407,                0.76329,                0.95741,                0.67301,                0.41453,                0.45998,                 0.2612,                 1.2018,                0.69972,                0.93378,              0.0039438,              0.0039438,              0.0039438
                     59,                 1.2392,                0.76239,                0.95743,                0.67216,                0.41455,                0.46032,                0.26149,                 1.2015,                0.69975,                0.93356,              0.0038375,              0.0038375,              0.0038375
                     60,                  1.238,                0.76048,                0.95727,                0.67549,                0.41453,                0.46068,                0.26171,                 1.2011,                0.69976,                0.93337,              0.0037312,              0.0037312,              0.0037312
                     61,                 1.2353,                0.75851,                0.95604,                0.67716,                0.41382,                0.46094,                0.26193,                 1.2007,                0.69983,                0.93322,               0.003625,               0.003625,               0.003625
                     62,                 1.2359,                0.75723,                0.95611,                0.67861,                 0.4136,                0.46123,                0.26195,                 1.2003,                0.69995,                0.93304,              0.0035188,              0.0035188,              0.0035188
                     63,                 1.2356,                0.75717,                0.95553,                0.67693,                0.41459,                0.46158,                0.26224,                 1.2001,                0.70003,                0.93285,              0.0034125,              0.0034125,              0.0034125
                     64,                  1.233,                0.75507,                0.95502,                0.67686,                0.41396,                0.46149,                0.26249,                 1.1997,                0.70028,                 0.9327,              0.0033063,              0.0033063,              0.0033063
                     65,                 1.2321,                0.75325,                 0.9541,                0.67785,                0.41431,                0.46175,                0.26279,                 1.1993,                0.70035,                0.93252,                 0.0032,                 0.0032,                 0.0032
                     66,                 1.2301,                0.75232,                0.95342,                0.68005,                0.41406,                0.46158,                 0.2629,                 1.1989,                0.70063,                0.93228,              0.0030937,              0.0030937,              0.0030937
                     67,                 1.2285,                 0.7507,                0.95379,                0.67836,                0.41425,                0.46201,                0.26319,                 1.1986,                 0.7009,                0.93212,              0.0029875,              0.0029875,              0.0029875
                     68,                 1.2283,                0.74991,                0.95285,                0.67859,                0.41337,                0.46218,                0.26315,                 1.1983,                0.70107,                0.93193,              0.0028812,              0.0028812,              0.0028812
                     69,                 1.2274,                0.74845,                0.95239,                0.67777,                0.41436,                0.46226,                0.26338,                 1.1979,                0.70125,                0.93172,               0.002775,               0.002775,               0.002775
                     70,                 1.2623,                0.75221,                0.95651,                0.68072,                0.41236,                0.46217,                 0.2636,                 1.1977,                0.70215,                0.93154,              0.0026687,              0.0026687,              0.0026687
                     71,                 1.2592,                0.74775,                  0.955,                0.68015,                0.41246,                 0.4622,                0.26366,                 1.1975,                 0.7029,                0.93133,              0.0025625,              0.0025625,              0.0025625
                     72,                 1.2582,                0.74699,                0.95524,                0.68077,                0.41117,                0.46202,                0.26393,                 1.1971,                0.70374,                0.93117,              0.0024563,              0.0024563,              0.0024563
                     73,                 1.2545,                0.74372,                0.95398,                0.68246,                0.41074,                0.46223,                0.26391,                 1.1969,                0.70456,                0.93102,                0.00235,                0.00235,                0.00235
                     74,                 1.2528,                0.74169,                0.95377,                0.68303,                0.41195,                0.46246,                0.26424,                 1.1967,                0.70549,                0.93098,              0.0022438,              0.0022438,              0.0022438
                     75,                 1.2518,                0.73948,                0.95263,                0.68472,                0.41132,                0.46238,                0.26423,                 1.1966,                0.70641,                0.93087,              0.0021375,              0.0021375,              0.0021375
                     76,                 1.2491,                0.73703,                0.95185,                0.68091,                0.41136,                0.46236,                0.26417,                 1.1965,                0.70737,                0.93077,              0.0020313,              0.0020313,              0.0020313
                     77,                 1.2477,                0.73496,                0.95125,                0.68157,                0.41092,                 0.4622,                0.26413,                 1.1963,                0.70832,                0.93063,               0.001925,               0.001925,               0.001925
                     78,                 1.2459,                0.73203,                0.95016,                0.68187,                0.41109,                 0.4622,                0.26414,                 1.1962,                0.70916,                0.93048,              0.0018187,              0.0018187,              0.0018187
                     79,                 1.2435,                0.73056,                0.94926,                0.67882,                  0.411,                0.46145,                0.26408,                 1.1962,                0.71011,                0.93041,              0.0017125,              0.0017125,              0.0017125
